question_id,question,options,rationale,correct,source,s3_output_context,s3_output_Q,s3_output_choices,s3_conditions,s4_prg_encode_context_0,s4_prg_encode_Q_0,s4_prg_encode_choices_0,s4_prg_encode_context_20,s4_prg_encode_Q_20,s4_prg_encode_choices_20,s4_prg_encode_context_40,s4_prg_encode_Q_40,s4_prg_encode_choices_40,s4_prg_encode_context_60,s4_prg_encode_Q_60,s4_prg_encode_choices_60,s4_prg_encode_context_80,s4_prg_encode_Q_80,s4_prg_encode_choices_80
57035,"Every letter in the alphabet has a number value that is equal to its place in the alphabet. Thus, the letter A has a value of 1, the letter B has a value of 2, the letter C has a value of 3, etc... The number value of a word is obtained by adding up the value of the letters in the word and then multiplying that sum by the length of the word. What is the number value of the word ""CAT""?","['45', '54', '63', '72', '81']","""CAT"" = (3+1+20)*3=72.
The answer is D.",3,train.json,"""CAT"" = (3+1+20)*3=72.
The answer is D.","Every letter in the alphabet has a number value that is equal to its place in the alphabet. Thus, the letter A has a value of 1, the letter B has a value of 2, the letter C has a value of 3, etc... The number value of a word is obtained by adding up the value of the letters in the word and then multiplying that sum by the length of the word. What is the number value of the word ""CAT""?","['45', '54', '63', '72', '81']",,,"Every letter in the alphabet has a number value that is equal to its place in the alphabet. Thus, the letter A has a value of 1, the letter B has a value of 2, the letter C has a value of 3, etc... The number value of a word is obtained by adding up the value of the letters in the word and then multiplying that sum by the length of the word. What is the number value of the word ""CAT""?","['45', '54', '63', '72', '81']",,"Every letter in the alphabet <r005> a number value that is equal to its place in the alphabet. <r014>, the letter A <r005> a value of 1, the letter B <r005> a value of 2, the letter C <r005> a value of 3, etc... The number value of a word is obtained by adding up the value of the letters in the word and then multiplying that sum by the length of the word. What is the number value of the word ""<r001>""?","['45', '54', '63', '72', '81']",,"Every letter in the <r003> has a number value that is equal to its place in the <r003>. <r014>, the letter A has a value of 1, the letter B has a value of 2, the letter C has a value of 3, etc... The number value of a <r016> is <r010> by <r002> up the value of the letters in the <r016> and <r013> multiplying that sum by the length of the <r016>. What is the number value of the <r016> ""CAT""?","['45', '54', '63', '72', '81']",,"Every <r007> in the alphabet has a <r009> <r015> that is <r004> to its place in the alphabet. <r014>, the <r007> A has a <r015> of 1, the <r007> B has a <r015> of 2, the <r007> C has a <r015> of 3, etc... The <r009> <r015> of a <r016> is <r010> by adding up the <r015> of the <r007>s in the <r016> and <r013> <r008> that sum by the length of the <r016>. What is the <r009> <r015> of the <r016> ""<r001>""?","['45', '54', '63', '72', '81']",,"Every <r007> in the <r003> <r005> a <r009> <r015> that is equal to its <r011> in the <r003>. <r014>, the <r007> A <r005> a <r015> of 1, the <r007> B <r005> a <r015> of 2, the <r007> C <r005> a <r015> of 3, etc... The <r009> <r015> of a <r016> is <r010> by <r002> up the <r015> of the <r007>s in the <r016> and <r013> <r008> that sum by the length of the <r016>. What is the <r009> <r015> of the <r016> ""<r001>""?","['45', '54', '63', '72', '81']"
78816,A cylinder of radius R and height H is reshaped. Which of the following changes results in the cylinder of greatest volume?,"['a 20% decrease in H and a 50% increase in R.', 'a 500% increase in H and a 50% decrease in R.', 'a 300% increase in H and a 30% decrease in R', 'a 70% decrease in H and a 100% increase in R', 'a 100% increase in H and a 10% decrease in R']","Volume of a cylinder = Pi. R^2.H
Check for options as per given Q.
A. (1.5)^2 * (0.8) = 2.25 * 0.8 = 1.8 (Since 20% decrease in H and a 50% increase in R.)
B. (0.5)^2 * (6) = 0.25 * 6 = 1.5 (Since 500% increase in H and a 50% decrease in R)
C. (0.7)^2 * (4) = 0.49 * 4 = 1.96 (Since 300% increase in H and a 30% decrease in R )
D. (2)^2 * (0.3) = 4 * 0.3 = 1.2 (Since 70% decrease in H and a 100% increase in R. )
E. (0.9)^2 * (2) = 0.81 * 2 = 1.62 (Since 100% increase in H and a 10% decrease in R. )
Maximum value is 1.96
Option C",2,train.json,"Volume of a cylinder = Pi. R^2.H
Check for options as per given Q.
A. (1.5)^2 * (0.8) = 2.25 * 0.8 = 1.8 (Since 20% decrease in H and a 50% increase in R.)
B. (0.5)^2 * (6) = 0.25 * 6 = 1.5 (Since 500% increase in H and a 50% decrease in R)
C. (0.7)^2 * (4) = 0.49 * 4 = 1.96 (Since 300% increase in H and a 30% decrease in R )
D. (2)^2 * (0.3) = 4 * 0.3 = 1.2 (Since 70% decrease in H and a 100% increase in R. )
E. (0.9)^2 * (2) = 0.81 * 2 = 1.62 (Since 100% increase in H and a 10% decrease in R. )
Maximum value is 1.96
Option C",A cylinder of radius R and height H is reshaped. Which of the following changes results in the cylinder of greatest volume?,"['a 20% decrease in H and a 50% increase in R.', 'a 500% increase in H and a 50% decrease in R.', 'a 300% increase in H and a 30% decrease in R', 'a 70% decrease in H and a 100% increase in R', 'a 100% increase in H and a 10% decrease in R']",,,A cylinder of radius R and height H is reshaped. Which of the following changes results in the cylinder of greatest volume?,"['a 20% decrease in H and a 50% increase in R.', 'a 500% increase in H and a 50% decrease in R.', 'a 300% increase in H and a 30% decrease in R', 'a 70% decrease in H and a 100% increase in R', 'a 100% increase in H and a 10% decrease in R']",,A cylinder of radius R and <r005> H is <r007>. Which of the following changes results in the cylinder of greatest volume?,"['a 20% decrease in H and a 50% increase in R.', 'a 500% increase in H and a 50% decrease in R.', 'a 300% increase in H and a 30% decrease in R', 'a 70% decrease in H and a 100% increase in R', 'a 100% increase in H and a 10% decrease in R']",,A cylinder of <r006> R and height H is <r007>. Which of the following <r001> results in the cylinder of <r004> volume?,"['a 20% decrease in H and a 50% increase in R.', 'a 500% increase in H and a 50% decrease in R.', 'a 300% increase in H and a 30% decrease in R', 'a 70% decrease in H and a 100% increase in R', 'a 100% increase in H and a 10% decrease in R']",,A <r002> of radius R and height H is <r007>. Which of the <r003> changes results in the <r002> of <r004> <r009>?,"['a 20% decrease in H and a 50% increase in R.', 'a 500% increase in H and a 50% decrease in R.', 'a 300% increase in H and a 30% decrease in R', 'a 70% decrease in H and a 100% increase in R', 'a 100% increase in H and a 10% decrease in R']",,A cylinder of <r006> R and <r005> H is reshaped. Which of the <r003> <r001> <r008> in the cylinder of <r004> <r009>?,"['a 20% decrease in H and a 50% increase in R.', 'a 500% increase in H and a 50% decrease in R.', 'a 300% increase in H and a 30% decrease in R', 'a 70% decrease in H and a 100% increase in R', 'a 100% increase in H and a 10% decrease in R']"
29338,"When a person aged 39 is added to a group of n people, the average age increases by 2. When a person aged 15 is added instead, the average age decreases by 1. What is the value of R?","['7', '8', '9', '10', '11']","A simple and elegant solution.
As addition of 39, shifts mean by 2, and addition of 15, shifts mean by 1 to the other side, we have the mean lying between 3915, and in a ratio of 2:1
39-15 = 24
24 divide by 3 is 8.
Meaning mean of the n terms is 15+8 = 39-16 = 23
Now, from first statement, When a person aged 39 is added to a group of n people, the average age increases by 2.
R*23 +39 = 25*(R+1)
R = 7
Ans. (A)",0,train.json,"A simple and elegant solution.
As addition of 39, shifts mean by 2, and addition of 15, shifts mean by 1 to the other side, we have the mean lying between 3915, and in a ratio of 2:1
39-15 = 24
24 divide by 3 is 8.
Meaning mean of the n terms is 15+8 = 39-16 = 23
Now, from first statement, When a person aged 39 is added to a group of n people, the average age increases by 2.
R*23 +39 = 25*(R+1)
R = 7
Ans. (A)","When a person aged 39 is added to a group of n people, the average age increases by 2. When a person aged 15 is added instead, the average age decreases by 1. What is the value of R?","['7', '8', '9', '10', '11']",,,"When a person aged 39 is added to a group of n people, the average age increases by 2. When a person aged 15 is added instead, the average age decreases by 1. What is the value of R?","['7', '8', '9', '10', '11']",,"When a person aged 39 is added to a <r005> of n people, the average age increases by 2. When a person aged 15 is added <r007>, the average age decreases by 1. What is the value of R?","['7', '8', '9', '10', '11']",,"When a person aged 39 is <r001> to a group of n <r008>, the <r003> age <r006> by 2. When a person aged 15 is <r001> instead, the <r003> age decreases by 1. What is the value of R?","['7', '8', '9', '10', '11']",,"When a <r009> <r002> 39 is added to a <r005> of n people, the aver<r002> <r002> increases by 2. When a <r009> <r002> 15 is added <r007>, the aver<r002> <r002> <r004> by 1. What is the <r010> of R?","['7', '8', '9', '10', '11']",,"When a <r009> <r002> 39 is <r001> to a <r005> of n <r008>, the <r003> <r002> increases by 2. When a <r009> <r002> 15 is <r001> <r007>, the <r003> <r002> <r004> by 1. What is the value of R?","['7', '8', '9', '10', '11']"
83902,What will be the difference between simple and compound interest @25% per annum on a sum of $3600 after 2 years?,"['$150', '$220', '$225', '$182', '$189']","S.I. = 3600*25*2/100 = $1800
C.I. = 3600 * (1 + 25/100)^2 - 3600 = $2025
Difference = 2025-1800 = $225
Answer is C",2,train.json,"S.I. = 3600*25*2/100 = $1800
C.I. = 3600 * (1 + 25/100)^2 - 3600 = $2025
Difference = 2025-1800 = $225
Answer is C",What will be the difference between simple and compound interest @25% per annum on a sum of $3600 after 2 years?,"['$150', '$220', '$225', '$182', '$189']",,,What will be the difference between simple and compound interest @25% per annum on a sum of $3600 after 2 years?,"['$150', '$220', '$225', '$182', '$189']",,What will be the difference between simple and compound interest <r002>% per annum on a sum of $3600 after 2 years?,"['$150', '$220', '$225', '$182', '$189']",,What will be the <r004> between <r006> and <r003> interest @25% per annum on a sum of $3600 after 2 years?,"['$150', '$220', '$225', '$182', '$189']",,What will be the <r004> between simple and <r003> interest @25% per annum on a <r007> of $<r001> after 2 years?,"['$150', '$220', '$225', '$182', '$189']",,What will be the difference between <r006> and <r003> <r005> <r002>% per annum on a <r007> of $<r001> after 2 years?,"['$150', '$220', '$225', '$182', '$189']"
73290,for every correct answer 4 is awarded but for a wrong answer 2 is deducted. If there are a total of 150 questions and sukanya scores 480 how many answers of sukanya were correct?,"['110', '120', '130', '140', '150']","If x questions are correct, then
4x-2(150-x) = 480
6x= 780
x=130
so 130 questions are correct.
ANSWER:C",2,train.json,"If x questions are correct, then
4x-2(150-x) = 480
6x= 780
x=130
so 130 questions are correct.
ANSWER:C",for every correct answer 4 is awarded but for a wrong answer 2 is deducted. If there are a total of 150 questions and sukanya scores 480 how many answers of sukanya were correct?,"['110', '120', '130', '140', '150']",,,for every correct answer 4 is awarded but for a wrong answer 2 is deducted. If there are a total of 150 questions and sukanya scores 480 how many answers of sukanya were correct?,"['110', '120', '130', '140', '150']",,for every correct answer 4 is <r002> but for a wrong answer 2 is deducted. If there are a total of 150 questions and sukanya <r008> 480 how many answers of sukanya were correct?,"['110', '120', '130', '140', '150']",,for every correct answer 4 is awarded but for a <r011> answer 2 is deducted. If there are a <r010> of 150 <r007> and sukanya scores 480 how <r006> answers of sukanya were correct?,"['110', '120', '130', '140', '150']",,for every <r004> <r001> 4 is <r002> but for a wrong <r001> 2 is <r005>. If there <r003> a <r010> of 150 questions and sukanya scores 480 how <r006> <r001>s of sukanya were <r004>?,"['110', '120', '130', '140', '150']",,for every <r004> <r001> 4 is <r002> but for a <r011> <r001> 2 is deducted. If there <r003> a <r010> of 150 <r007> and <r009> scores 480 how <r006> <r001>s of <r009> were <r004>?,"['110', '120', '130', '140', '150']"
93107,"In order to obtain an income of Rs. 500 from 30% stock at Rs. 90, one must make an investment of","['Rs.1550', 'Rs.1430', 'Rs.1450', 'Rs.1400', 'Rs.1500']","Explanation :
Market Value = Rs. 90
Required Income = Rs. 500.
Here face value is not given. Take face value as Rs.100 if it is not given in the question
To obtain Rs.30 (ie,30% of the face value 100), investment = Rs.90
To obtain Rs.15000, investment = 90/30Ã—500=Rs.1500
Answer : Option E",4,train.json,"Explanation :
Market Value = Rs. 90
Required Income = Rs. 500.
Here face value is not given. Take face value as Rs.100 if it is not given in the question
To obtain Rs.30 (ie,30% of the face value 100), investment = Rs.90
To obtain Rs.15000, investment = 90/30Ã—500=Rs.1500
Answer : Option E","In order to obtain an income of Rs. 500 from 30% stock at Rs. 90, one must make an investment of","['Rs.1550', 'Rs.1430', 'Rs.1450', 'Rs.1400', 'Rs.1500']",,,"In order to obtain an income of Rs. 500 from 30% stock at Rs. 90, one must make an investment of","['Rs.1550', 'Rs.1430', 'Rs.1450', 'Rs.1400', 'Rs.1500']",,"In order to obtain an income of Rs. 500 from 30% stock at Rs. 90, one must <r004> an investment of","['Rs.1550', 'Rs.1430', 'Rs.1450', 'Rs.1400', 'Rs.1500']",,"In order to <r005> an income of <r001>. 500 from 30% <r007> at <r001>. 90, one must make an investment of","['Rs.1550', 'Rs.1430', 'Rs.1450', 'Rs.1400', 'Rs.1500']",,"In order to <r005> an income of <r001>. 500 from 30% <r007> at <r001>. 90, one must <r004> an investment of","['Rs.1550', 'Rs.1430', 'Rs.1450', 'Rs.1400', 'Rs.1500']",,"In <r006> to <r005> an <r002> of Rs. 500 from 30% <r007> at Rs. 90, one must <r004> an <r003> of","['Rs.1550', 'Rs.1430', 'Rs.1450', 'Rs.1400', 'Rs.1500']"
49178,"In a psychology school the grade of the students is determined by the following method: At the end of the first year the grade equals to twice the age of the student. From then on, the grade is determined by twice the age of the student plus half of his grade from the previous year. If Joey’s grade at the end of the first year is 44, what will be his grade at the end of the third year?","['44', '56', '82', '75', '80']","Cool question!
There's a lot of information given here, so let's eat slow here.
Joey scores a 44 at the end of his first year. That means that he's currently 22 years old (since given per instruction, after the first year one's grade is determined by doubling his/her age).
Now, come next year, or his second year at this psychology school, he's technically 23 years old. To find out the second year's grade, we want to double his age PLUS half of his previous grade.
Well, his second year is then going to be 23(2) + 22 = 68.
Now let's tackle the main question: what's his grade going to be the third year?
Well, he will be at an age of 22 on his third year at this school. Again, to find out his third year's grade, you're going to double his age (24x2), plus half of his previous year's grade (as calculated for his second year, his grade is 68; therefore, 68/2)
Having said that, the final answer would be 24(2) + 68/2 = 48 + 34 = 82 --> (C)",2,train.json,"Cool question!
There's a lot of information given here, so let's eat slow here.
Joey scores a 44 at the end of his first year. That means that he's currently 22 years old (since given per instruction, after the first year one's grade is determined by doubling his/her age).
Now, come next year, or his second year at this psychology school, he's technically 23 years old. To find out the second year's grade, we want to double his age PLUS half of his previous grade.
Well, his second year is then going to be 23(2) + 22 = 68.
Now let's tackle the main question: what's his grade going to be the third year?
Well, he will be at an age of 22 on his third year at this school. Again, to find out his third year's grade, you're going to double his age (24x2), plus half of his previous year's grade (as calculated for his second year, his grade is 68; therefore, 68/2)
Having said that, the final answer would be 24(2) + 68/2 = 48 + 34 = 82 --> (C)","In a psychology school the grade of the students is determined by the following method: At the end of the first year the grade equals to twice the age of the student. From then on, the grade is determined by twice the age of the student plus half of his grade from the previous year. If Joey’s grade at the end of the first year is 44, what will be his grade at the end of the third year?","['44', '56', '82', '75', '80']",,,"In a psychology school the grade of the students is determined by the following method: At the end of the first year the grade equals to twice the age of the student. From then on, the grade is determined by twice the age of the student plus half of his grade from the previous year. If Joey’s grade at the end of the first year is 44, what will be his grade at the end of the third year?","['44', '56', '82', '75', '80']",,"In a <r009> school the grade of the students is determined by the following method: At the end of the first year the grade equals to twice the age of the student. From then on, the grade is determined by twice the age of the student plus half of his grade from the previous year. If <r001>’s grade at the end of the first year is 44, what will be his grade at the end of the third year?","['44', '56', '82', '75', '80']",,"In a psychology <r010> the grade of the <r011> is <r003> by the following method: At the end of the first year the grade equals to twice the <r002> of the <r011>. From <r012> on, the grade is <r003> by twice the <r002> of the <r011> plus half of his grade from the previous year. If Joey’s grade at the end of the first year is 44, what will be his grade at the end of the third year?","['44', '56', '82', '75', '80']",,"In a <r009> school the grade of the <r011> is determined by the <r005> method: At the end of the first year the grade <r004> to twice the <r002> of the <r011>. From then <r008>, the grade is determined by twice the <r002> of the <r011> plus half of his grade from the previous year. If <r001>’s grade at the end of the first year is 44, what will be his grade at the end of the third year?","['44', '56', '82', '75', '80']",,"In a <r009> <r010> the <r006> of the <r011> is <r003> by the <r005> <r007>: At the end of the first year the <r006> <r004> to twice the age of the <r011>. From then <r008>, the <r006> is <r003> by twice the age of the <r011> plus half of his <r006> from the previous year. If <r001>’s <r006> at the end of the first year is 44, what will be his <r006> at the end of the third year?","['44', '56', '82', '75', '80']"
88018,"What should come in place of the question mark (?) in the following number series?
16 8 12 30 105 ?","['387.5', '470.5', '367.5', '472.5', 'None of these']","Explanation:
16*1/2=8
8*3/2=12
12*5/2=30
30*7/2=105
105*9/2=472.5
Answer:D",3,train.json,"Explanation:
16*1/2=8
8*3/2=12
12*5/2=30
30*7/2=105
105*9/2=472.5
Answer:D","What should come in place of the question mark (?) in the following number series?
16 8 12 30 105 ?","['387.5', '470.5', '367.5', '472.5', 'None of these']",,,"What should come in place of the question mark (?) in the following number series?
16 8 12 30 105 ?","['387.5', '470.5', '367.5', '472.5', 'None of these']",,"What should come in place of the question mark (?) in the <r002> number series?
16 8 12 30 105 ?","['387.5', '470.5', '367.5', '472.5', 'None of these']",,"What should <r001> in <r005> of the question mark (?) in the following <r004> series?
16 8 12 30 105 ?","['387.5', '470.5', '367.5', '472.5', 'None of these']",,"What should <r001> in <r005> of the question mark (?) in the following <r004> <r007>?
16 8 12 30 105 ?","['387.5', '470.5', '367.5', '472.5', 'None of these']",,"What should <r001> in <r005> of the <r006> <r003> (?) in the following <r004> <r007>?
16 8 12 30 105 ?","['387.5', '470.5', '367.5', '472.5', 'None of these']"
11163,Lisa and Robert have taken the same number of photos on their school trip. Lisa has taken 3 times as many photos as Claire and Robert has taken 24 more photos than Claire. How many photos has Claire taken?,"['6', '8', '10', '12', '14']","L = R
L = 3C
R = C + 24
3C = C + 24
C = 12
The answer is D.",3,train.json,"L = R
L = 3C
R = C + 24
3C = C + 24
C = 12
The answer is D.",Lisa and Robert have taken the same number of photos on their school trip. Lisa has taken 3 times as many photos as Claire and Robert has taken 24 more photos than Claire. How many photos has Claire taken?,"['6', '8', '10', '12', '14']",,,Lisa and Robert have taken the same number of photos on their school trip. Lisa has taken 3 times as many photos as Claire and Robert has taken 24 more photos than Claire. How many photos has Claire taken?,"['6', '8', '10', '12', '14']",,Lisa and Robert have taken the same number of photos on their <r010> trip. Lisa has taken 3 <r012> as many photos as <r001> and Robert has taken 24 more photos than <r001>. How many photos has <r001> taken?,"['6', '8', '10', '12', '14']",,<r002> and <r003> have <r011> the same number of <r008> on their school trip. <r002> has <r011> 3 <r012> as many <r008> as Claire and <r003> has <r011> 24 more <r008> than Claire. How many <r008> has Claire <r011>?,"['6', '8', '10', '12', '14']",,<r002> and Robert have taken the <r009> <r007> of photos on their <r010> <r013>. <r002> h<r004> taken 3 times <r004> <r005> photos <r004> <r001> and Robert h<r004> taken 24 more photos than <r001>. How <r005> photos h<r004> <r001> taken?,"['6', '8', '10', '12', '14']",,<r002> and Robert have <r011> the same <r007> of <r008> on their <r010> <r013>. <r002> h<r004> <r011> 3 <r012> <r004> many <r008> <r004> <r001> and Robert h<r004> <r011> 24 <r006> <r008> than <r001>. How many <r008> h<r004> <r001> <r011>?,"['6', '8', '10', '12', '14']"
85741,"A patient was given three pills which he is required to take one after every thirty-five minutes.
How long can the pills run for him?","['1 hour and 10 minutes.', '1 hour and 15 minutes.', '1 hour and 20 minutes.', '1 hour and 50 minutes.', '1 hour and 25 minutes.']","He took the first pill at the zero minute.
He took the second pill after 20 minutes = 0+35=35
He took the third pill after 20 minutes = 35+35=70
Then it will last for 70 minutes or an hour and 10 minutes.
Answer A",0,train.json,"He took the first pill at the zero minute.
He took the second pill after 20 minutes = 0+35=35
He took the third pill after 20 minutes = 35+35=70
Then it will last for 70 minutes or an hour and 10 minutes.
Answer A","A patient was given three pills which he is required to take one after every thirty-five minutes.
How long can the pills run for him?","['1 hour and 10 minutes.', '1 hour and 15 minutes.', '1 hour and 20 minutes.', '1 hour and 50 minutes.', '1 hour and 25 minutes.']",,,"A patient was given three pills which he is required to take one after every thirty-five minutes.
How long can the pills run for him?","['1 hour and 10 minutes.', '1 hour and 15 minutes.', '1 hour and 20 minutes.', '1 hour and 50 minutes.', '1 hour and 25 minutes.']",,"A <r004> was given three <r005> which he is required to take one after every thirty-five minutes.
How long can the <r005> run for him?","['1 hour and 10 minutes.', '1 hour and 15 minutes.', '1 hour and 20 minutes.', '1 hour and 50 minutes.', '1 hour and 25 minutes.']",,"A patient was <r001> three <r005> which he is required to <r008> one after every thirty-five minutes.
How long can the <r005> run for him?","['1 hour and 10 minutes.', '1 hour and 15 minutes.', '1 hour and 20 minutes.', '1 hour and 50 minutes.', '1 hour and 25 minutes.']",,"A <r004> was <r001> three <r005> which he is required to take one after every thirty-five minutes.
How <r002> can the <r005> <r007> for him?","['1 hour and 10 minutes.', '1 hour and 15 minutes.', '1 hour and 20 minutes.', '1 hour and 50 minutes.', '1 hour and 25 minutes.']",,"A patient was <r001> three <r005> which he is required to <r008> one after every thirty-five <r003>.
How <r002> can the <r005> <r007> for him?","['1 hour and 10 minutes.', '1 hour and 15 minutes.', '1 hour and 20 minutes.', '1 hour and 50 minutes.', '1 hour and 25 minutes.']"
14727,"Which of the following CANNOT be true if the sum of k consecutive integers is 0, where k ≥ 1 ?
I. The product of the k integers is positive
II. The smallest of the k integers is zero
III. The largest of the k integers is negative","['I only', 'II only', 'III only', 'I and III', 'I, II and III']","for the sum of k consecutive integers to be 0 we have at least k=1 as 0
or if k=3 then 1,0,-1
1) product will be 0 every time......Not True
2)as stated earlier if k=1 as 0 then 0 is the highest as well lowest number.....Could be True
3) largest number can only be 0 if K=1 or any +ve integer if K>1--------->largest integer be -ve Never true.
Ans D",3,train.json,"for the sum of k consecutive integers to be 0 we have at least k=1 as 0
or if k=3 then 1,0,-1
1) product will be 0 every time......Not True
2)as stated earlier if k=1 as 0 then 0 is the highest as well lowest number.....Could be True
3) largest number can only be 0 if K=1 or any +ve integer if K>1--------->largest integer be -ve Never true.
Ans D","Which of the following CANNOT be true if the sum of k consecutive integers is 0, where k ≥ 1 ?
I. The product of the k integers is positive
II. The smallest of the k integers is zero
III. The largest of the k integers is negative","['I only', 'II only', 'III only', 'I and III', 'I, II and III']",,,"Which of the following CANNOT be true if the sum of k consecutive integers is 0, where k ≥ 1 ?
I. The product of the k integers is positive
II. The smallest of the k integers is zero
III. The largest of the k integers is negative","['I only', 'II only', 'III only', 'I and III', 'I, II and III']",,"Which of the following CANNOT be true if the <r013> of k consecutive <r007> is 0, where k ≥ 1 ?
I. The product of the k <r007> is positive
II. The smallest of the k <r007> is zero
III. The <r008> of the k <r007> is negative","['I only', 'II only', 'III only', 'I and III', 'I, II and III']",,"Which of the <r005> <r001> be <r014> if the sum of k <r004> integers is 0, where k ≥ 1 ?
I. The product of the k integers is positive
<r002>. The smallest of the k integers is zero
<r002>I. The largest of the k integers is negative","['I only', 'II only', 'III only', 'I and III', 'I, II and III']",,"Which of the <r005> <r001> be true if the sum of k <r004> integers is 0, where k ≥ 1 ?
<r006> The product of the k integers is <r010>
I<r006> The <r012> of the k integers is zero
II<r006> The <r008> of the k integers is <r009>","['I only', 'II only', 'III only', 'I and III', 'I, II and III']",,"Which of the <r005> <r001> be <r014> if the <r013> of k consecutive <r007> is 0, where k ≥ 1 ?
I. The <r011> of the k <r007> is <r010>
<r002>. The <r012> of the k <r007> is zero
<r002>I. The <r008> of the k <r007> is negative","['I only', 'II only', 'III only', 'I and III', 'I, II and III']"
69576,"In the xy-plane, the points (c, d), (c, -d), and (-c, -d) are three vertices of a certain square. If c < 0 and d > 0, which of the following points P is in the same quadrant as the fourth vertex of the square?","['(-5, -3)', '(-5, 3)', '(5, -3)', '(3, -5)', '(3, 5)']","The question:In the xy-plane, the points P=(c, d), (c, -d), and (-c, -d) are three vertices of a certain square.If c < 0 and d > 0,which of the following points is in the same quadrant as the fourth vertex of the square?
I marked the tricky part in red. It seems c is anegativenumber and d is a positive number. This means
Vertex #1 = (c, d) is in QII (that is, negative x and positive y)
Vertex #2 = (c, -d) is in QIII (that is, both xy negative)
Vertex #3 = (-c, -d) is in QIV (that is y is negative, but x is positive)
That means the last vertex should be in the first quadrant --- the only first quadrant point is (5, 3), answer =E.",4,train.json,"The question:In the xy-plane, the points P=(c, d), (c, -d), and (-c, -d) are three vertices of a certain square.If c < 0 and d > 0,which of the following points is in the same quadrant as the fourth vertex of the square?
I marked the tricky part in red. It seems c is anegativenumber and d is a positive number. This means
Vertex #1 = (c, d) is in QII (that is, negative x and positive y)
Vertex #2 = (c, -d) is in QIII (that is, both xy negative)
Vertex #3 = (-c, -d) is in QIV (that is y is negative, but x is positive)
That means the last vertex should be in the first quadrant --- the only first quadrant point is (5, 3), answer =E.","In the xy-plane, the points (c, d), (c, -d), and (-c, -d) are three vertices of a certain square. If c < 0 and d > 0, which of the following points P is in the same quadrant as the fourth vertex of the square?","['(-5, -3)', '(-5, 3)', '(5, -3)', '(3, -5)', '(3, 5)']",,,"In the xy-plane, the points (c, d), (c, -d), and (-c, -d) are three vertices of a certain square. If c < 0 and d > 0, which of the following points P is in the same quadrant as the fourth vertex of the square?","['(-5, -3)', '(-5, 3)', '(5, -3)', '(3, -5)', '(3, 5)']",,"In the xy-plane, the <r003> (c, d), (c, -d), and (-c, -d) are three vertices of a certain square. If c < 0 and d > 0, which of the following <r003> P is in the same quadrant as the fourth vertex of the square?","['(-5, -3)', '(-5, 3)', '(5, -3)', '(3, -5)', '(3, 5)']",,"In the xy-plane, the <r003> (c, d), (c, -d), and (-c, -d) are three vertices of a <r001> <r006>. If c < 0 and d > 0, which of the following <r003> P is in the same quadrant as the fourth vertex of the <r006>?","['(-5, -3)', '(-5, 3)', '(5, -3)', '(3, -5)', '(3, 5)']",,"In the xy-plane, the <r003> (c, d), (c, -d), and (-c, -d) are three <r007> of a certain square. If c < 0 and d > 0, which of the <r002> <r003> P is in the same <r004> as the fourth <r007> of the square?","['(-5, -3)', '(-5, 3)', '(5, -3)', '(3, -5)', '(3, 5)']",,"In the xy-plane, the <r003> (c, d), (c, -d), and (-c, -d) are three <r007> of a certain <r006>. If c < 0 and d > 0, which of the <r002> <r003> P is in the <r005> <r004> as the fourth <r007> of the <r006>?","['(-5, -3)', '(-5, 3)', '(5, -3)', '(3, -5)', '(3, 5)']"
