lemma,word,part_of_speech,category,meaning,question_id,code,p_0_masked,p_5_masked,p_10_masked,p_15_masked,p_20_masked,p_25_masked,p_30_masked,p_35_masked,p_40_masked,p_45_masked,p_50_masked,p_55_masked,p_60_masked,p_65_masked,p_70_masked,p_75_masked,p_80_masked,p_85_masked,p_90_masked,p_95_masked,p_100_masked
separation,separation,NOUN,technical term,The act of being divided,0,r037,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,True,True,True,True,True,True
course,Course,NOUN,technical term,"direction, path",1,r008,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True
human,human,ADJ,individual name,A member of the species Homo sapiens,1,r018,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,False,True,True,True
event,events,NOUN,technical term,A significant happening or occurrence,1,r016,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,True,True,True,True,True,True
become,becomes,VERB,,,1,r005,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True,True
necessary,necessary,ADJ,technical term,Required for a specific outcome or situation,1,r022,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True
one,one,NUM,CARDINAL,Single unit or instance,1,r023,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,True,True
people,people,NOUN,organization name,Group of individuals who share common traits or goals,1,r025,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,True,True
dissolve,dissolve,VERB,technical term,To end or terminate a formal association,1,r012,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,True,True
political,political,ADJ,technical term,"Relating to government, public affairs, or policy",1,r026,False,False,False,True,False,True,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True
band,bands,NOUN,,,1,r004,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True
connect,connected,VERB,,,1,r007,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,True,True,True
assume,assume,VERB,,,1,r003,False,False,False,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True
power,powers,NOUN,technical term,Ability to influence or control events or people,1,r027,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True
earth,earth,NOUN,technical term,The planet Earth,1,r013,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True
separate,separate,ADJ,Technical Term,Describes distinct or unconnected entities or groups.,1,r031,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True
equal,equal,ADJ,technical term,"Having the same value, amount, or degree; fair and just",1,r015,False,False,False,False,False,False,False,True,False,False,True,True,True,False,True,False,True,True,False,True,True
station,station,NOUN,Technical Term,A specific position or role within a system or structure.,1,r033,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,True,True,True
the Laws of Nature and of Nature’s,the Laws of Nature and of Nature’s,DET,WORK_OF_ART,Philosophical Doctrine,1,r035,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,True
God,God,PROPN,individual name,Higher power,1,r001,False,False,False,False,False,True,False,False,True,True,True,False,True,False,True,False,True,True,True,True,True
entitle,entitle,VERB,technical term,To give legal or moral right to something,1,r014,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,True,True,True,True,True
decent,decent,ADJ,,,1,r010,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True
respect,respect,NOUN,technical term,Esteem or admiration for someone or something,1,r030,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,False,False,True
opinion,opinions,NOUN,technical term,Belief or judgment based on information or thought,1,r024,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,True,True,True,True
mankind,mankind,NOUN,technical term,Humanity,1,r021,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True
require,requires,VERB,technical term,To necessitate or demand something as essential,1,r029,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,True
declare,declare,VERB,technical term,Formal announcement or statement of intent,1,r011,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True
cause,causes,NOUN,technical term,reason for action,1,r006,False,False,True,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True
impel,impel,VERB,technical term,To urge or drive forward by force,1,r019,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,True,True,True,True
separation,separation,NOUN,Technical Term,The act of detaching or dividing things apart.,1,r032,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,True,True,True,True,True,True
course,Course,NOUN,Technical Term,Progression of Events,2,r008,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,True
human,human,ADJ,Category: Individual Name,"People, Humanity",2,r017,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,True,True,True
event,events,NOUN,Technical Term,Historical Occurrence,2,r016,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True
become,becomes,VERB,,,2,r005,False,False,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True,True,False,True
necessary,necessary,ADJ,Technical Term,Political Action/Process,2,r021,False,False,False,False,True,False,True,True,False,True,True,False,True,True,True,False,True,False,True,True,True
one,one,NUM,CARDINAL,Group of People/Collective,2,r023,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,True,True,True
people,people,NOUN,Organization Name,Political Entity/Collective Group,2,r025,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,True,True,True,True,True,True
dissolve,dissolve,VERB,Technical Term,Political Separation,2,r011,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True
political,political,ADJ,Technical Term,Related to Power or Governance,2,r026,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True
band,bands,NOUN,Organization Name,Group of People,2,r004,False,False,True,False,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,True
connect,connected,VERB,,,2,r007,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,True,True
assume,assume,VERB,,,2,r003,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,True,True,False,True,True
power,powers,NOUN,Technical Term,Control/Influence over Others,2,r027,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True
earth,earth,NOUN,Organization Name,Planet Earth,2,r012,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,True,True,False,True,True
separate,separate,ADJ,technical term,"forming, being, or acting independently.",2,r032,False,False,True,False,False,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True
equal,equal,ADJ,Technical Term,"Parity, Equality",2,r015,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,True,True,False,True,True,True
station,station,NOUN,technical term,"A fixed place, location, or position.",2,r036,False,False,False,True,False,False,True,False,False,False,True,True,False,True,True,True,False,True,True,True,True
the Laws of Nature and of Nature’s,the Laws of Nature and of Nature’s,DET,WORK_OF_ART,A collection of principles governing the universe.,2,r038,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True
God,God,PROPN,Individual Name,Higher Power,2,r001,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True
entitle,entitle,VERB,Technical Term,Legal Right,2,r014,False,False,True,True,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,False,True
decent,decent,ADJ,,,2,r009,False,False,False,False,False,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True
respect,respect,NOUN,technical term,Consideration or esteem for others.,2,r031,False,False,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True
opinion,opinions,NOUN,Technical Term,Justification for Action,2,r024,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True
mankind,mankind,NOUN,Category: Individual Name,All People,2,r020,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True
require,requires,VERB,Technical Term,Necessary Action in a Process,2,r030,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True,True,True,True,True
declare,declare,VERB,,To State Clearly,2,r010,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,True,True,True,True
cause,causes,NOUN,Technical Term,Reason,2,r006,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
impel,impel,VERB,Technical Term,"Motivations, Drive",2,r018,False,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,True
separation,separation,NOUN,technical term,The act of dividing or separating things.,2,r033,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,True,True,True,True,True
course,Course,NOUN,Technical Term,Direction or development of events,3,r007,False,False,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
human,human,ADJ,individual name,Relating to people,3,r016,False,False,False,True,False,True,False,False,True,True,True,False,True,False,True,False,True,True,True,False,True
event,events,NOUN,technical term,Significant occurrence,3,r015,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,True,False,False,True,True
become,becomes,VERB,Technical Term,Transform or develop into something else,3,r004,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True
necessary,necessary,ADJ,technical term,Requirement,3,r021,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,True
one,one,NUM,CARDINAL,Singular Entity,3,r022,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,True,True
people,people,NOUN,individual name,Group of Humans,3,r025,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True,True,True
dissolve,dissolve,VERB,Technical Term,Breakdown or termination of something,3,r010,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True,True,True,True,True,True
political,political,ADJ,higher-level concept,related to Governance or Politics,3,r027,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True
band,bands,NOUN,Technical Term,Group of people united by common purpose,3,r003,False,False,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
connect,connected,VERB,Technical Term,Establish a link or relationship between things,3,r006,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,True
assume,assume,VERB,Technical Term,Take on a role or responsibility,3,r002,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,True,True,False,False,True,True
power,powers,NOUN,higher-level concept,Influence or Ability,3,r028,False,False,True,False,True,False,False,False,False,True,False,True,True,True,True,True,True,False,True,True,True
earth,earth,NOUN,technical term,Planet,3,r011,False,False,False,False,False,True,True,False,False,True,False,True,True,False,True,True,False,True,True,True,True
separate,separate,ADJ,Technical Term,"Distinct, Independent",3,r033,False,False,False,True,False,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True
equal,equal,ADJ,technical term,Having the same value or status,3,r014,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True
station,station,NOUN,Technical Term,"Position, Role",3,r035,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True
the Laws of Nature and of Nature’s,the Laws of Nature and of Nature’s,DET,WORK_OF_ART,Philosophical concept,3,r038,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True
God,God,PROPN,Individual Name,Deity,3,r001,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True
entitle,entitle,VERB,technical term,To give someone a right or claim,3,r013,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True
decent,decent,ADJ,Technical Term,"Considerable, socially acceptable",3,r008,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,True,True,True,True
respect,respect,NOUN,Technical Term,"Esteem, Consideration",3,r032,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True
opinion,opinions,NOUN,higher-level concept,Belief or Judgement,3,r023,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True
mankind,mankind,NOUN,individual name,All humans,3,r019,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,True,True,True,True
require,requires,VERB,Technical Term,"Obligation, Duty",3,r031,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True
declare,declare,VERB,Technical Term,Make a formal statement or announcement,3,r009,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True
cause,causes,NOUN,Technical Term,Reason or motivation for an action or event,3,r005,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,True,True,True,True
impel,impel,VERB,technical term,To drive or urge forward,3,r017,False,True,True,False,False,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True
separation,separation,NOUN,Technical Term,"Division, Disconnection",3,r034,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True
course,Course,NOUN,Technical Term,"Process, Path",4,r009,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True
human,human,ADJ,Technical Term, Relating to Mankind,4,r020,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,True,True,True
event,events,NOUN,Technical Term,An Occurrence or Happening,4,r019,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,True
become,becomes,VERB,Technical Term,Achieve a State,4,r004,False,False,False,False,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True
necessary,necessary,ADJ,Technical Term,Essential or indispensable,4,r024,False,False,False,True,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True
one,one,NUM,CARDINAL,"The number 1, expressing individuality",4,r026,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True
people,people,NOUN,Individual Name,Human beings collectively,4,r029,False,False,False,True,False,False,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True
dissolve,dissolve,VERB,Technical Term,To Break Down or Separate Formally,4,r013,False,False,True,False,True,False,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True
political,political,ADJ,Technical Term,Relating to government or society,4,r030,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True
band,bands,NOUN,Organization Name,Political Group,4,r003,False,False,False,False,False,True,False,False,True,False,True,True,True,False,True,False,True,True,False,True,True
connect,connected,VERB,Technical Term,Establish Relationship,4,r006,False,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
assume,assume,VERB,Technical Term,Take on Responsibility,4,r002,False,False,False,False,False,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,True
power,powers,NOUN,technical term,ability to influence or control events or people,4,r031,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True
earth,earth,NOUN,Technical Term,"Planet Earth, as a Geographic Entity",4,r014,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
separate,separate,ADJ,,forming a distinct unit or group apart from others,4,r034,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True
equal,equal,ADJ,Technical Term,Of the Same Value or Status,4,r018,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,True,True,True,True
station,station,NOUN,technical term,a fixed position or place,4,r038,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,True,True,True
the Laws of Nature and of Nature’s,the Laws of Nature and of Nature’s,DET,WORK_OF_ART,Philosophically grounded set of principles governing natural phenomena.,4,r040,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True
God,God,PROPN,Individual Name,Religious Deity,4,r001,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,True,True,True
entitle,entitle,VERB,Technical Term,To Give Someone a Right or Claim to Something,4,r016,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,True,True,True,True,True,True
decent,decent,ADJ,Technical Term,Respect and Consideration for Morals,4,r011,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
respect,respect,NOUN,technical term,regard for the rights and feelings of others,4,r033,False,False,True,False,True,True,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True
opinion,opinions,NOUN,Organization Name,A belief or judgment held by a group,4,r028,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True
mankind,mankind,NOUN,Individual Name,All of humanity,4,r023,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True
require,requires,VERB,,demand something as necessary,4,r032,False,False,False,False,False,False,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True
declare,declare,VERB,Technical Term,To Officially Express or State Something,4,r012,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,True,True,False,True,True,True
cause,causes,NOUN,Technical Term,Motivation,4,r005,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True
impel,impel,VERB,Technical Term,Cause or motivate,4,r021,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,True,True,True
separation,separation,NOUN,technical term,the action of moving or placing things or people apart,4,r035,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,True
course,Course,NOUN,Technical Term,Direction,5,r009,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True
human,human,ADJ,Concept,Belonging to or relating to people.,5,r019,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True
event,events,NOUN,Action/Process,Significant occurrence or happening,5,r018,False,False,True,False,True,False,False,True,True,True,False,False,True,True,False,True,True,False,True,True,True
become,becomes,VERB,Technical Term,Transform,5,r006,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True
necessary,necessary,ADJ,Technical Term,Essential or required for a particular purpose,5,r024,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,False,True
one,one,NUM,CARDINAL,1,5,r025,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,True,True,False,True,True
people,people,NOUN,Organization Name,Human beings collectively,5,r027,False,False,False,False,False,True,False,False,True,True,True,False,True,False,True,False,True,True,True,True,True
dissolve,dissolve,VERB,Action/Process,To cease to exist as a unified whole,5,r012,False,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True
political,political,ADJ,Technical Term,"Relating to government, governance, or public affairs",5,r028,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True
band,bands,NOUN,Organization Name,Group,5,r005,False,False,False,True,False,False,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True
connect,connected,VERB,Technical Term,Join,5,r008,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,True,True,True,True,True,True
assume,assume,VERB,Technical Term,Take Position,5,r004,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,True,True
power,powers,NOUN,Technical Term,Ability to influence or control events or people,5,r029,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False,True,False,True,True
earth,earth,NOUN,Technical Term,The planet Earth - contextually referring to global power dynamics,5,r013,False,False,False,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True
separate,separate,ADJ,higher-level concept,"Distinct, independent",5,r032,False,False,False,False,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True
equal,equal,ADJ,Concept,Having the same rights and status,5,r017,False,False,True,False,False,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True
station,station,NOUN,higher-level concept,Position or role in society,5,r035,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,True
the Laws of Nature and of Nature’s,the Laws of Nature and of Nature’s,DET,WORK_OF_ART,Philosophical Concept,5,r038,False,False,False,False,False,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True
God,God,PROPN,Individual Name,Deity,5,r001,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True
entitle,entitle,VERB,Action/Process,To give someone a right or claim to something,5,r016,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True
decent,decent,ADJ,Technical Term,Admissible,5,r010,False,False,True,True,False,False,True,True,True,False,False,False,False,False,True,True,False,True,True,True,True
respect,respect,NOUN,higher-level concept,Consideration for others,5,r031,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True
opinion,opinions,NOUN,Technical Term,Belief or judgment based on personal views and experiences,5,r026,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,True,True,True
mankind,mankind,NOUN,Organization Name,The collective human population,5,r022,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,False,True,True,True
require,requires,VERB,Technical Term,To need or demand something as essential,5,r030,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True
declare,declare,VERB,Action/Process,Act of formally stating something,5,r011,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,True,True
cause,causes,NOUN,Organization Name,Reason,5,r007,False,False,False,False,True,False,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True
impel,impel,VERB,Action/Process,To drive or urge someone forward,5,r020,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True
separation,separation,NOUN,higher-level concept,Act of dividing or becoming detached,5,r033,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True
course,Course,NOUN,technical term,Series of events,6,r011,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True
human,human,ADJ,individual name,relating to people,6,r022,False,False,False,False,True,True,True,True,False,True,True,False,False,True,False,False,True,True,True,True,True
event,events,NOUN,technical term,Significant occurrence,6,r018,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,True
become,becomes,VERB,technical term,To undergo a transformation or change in state.,6,r006,False,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True
necessary,necessary,ADJ,,Essential for a purpose,6,r032,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,True,True,True,True
one,one,NUM,CARDINAL,A single unit or individual,6,r034,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True
people,people,NOUN,organization name,A group of humans living together in a community,6,r036,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True
dissolve,dissolve,VERB,,To break apart,6,r014,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True
political,political,ADJ,,Relating to government or public affairs,6,r038,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True
band,bands,NOUN,organization name,A group of connected individuals or entities.,6,r005,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,True,True
connect,connected,VERB,organization name,To establish a link or relationship between two things.,6,r009,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True
assume,assume,VERB,organization name,"Take on a role, responsibility, or identity.",6,r004,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,True,True,True,True
power,powers,NOUN,higher level concept,The ability to influence or control something,6,r039,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,True,True,True,True
earth,earth,NOUN,technical term,Planet,6,r015,False,False,True,False,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True
separate,separate,ADJ,technical term,political independence or self-governance,6,r043,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,True,True
equal,equal,ADJ,,Same value or quantity ,6,r017,False,False,False,True,False,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True
