lemma,word,part_of_speech,category,meaning,question_id,code,p_0_masked,p_5_masked,p_10_masked,p_15_masked,p_20_masked,p_25_masked,p_30_masked,p_35_masked,p_40_masked,p_45_masked,p_50_masked,p_55_masked,p_60_masked,p_65_masked,p_70_masked,p_75_masked,p_80_masked,p_85_masked,p_90_masked,p_95_masked,p_100_masked
=,=,NOUN,,Represents equality or comparison,54084,r002,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
a,A,NOUN,,A quantity or amount.,54084,r008,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,True,True,True,True
b,B,NOUN,,A quantity or amount.,54084,r009,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,True,True,True
b,B,NOUN,,A quantity or amount.,54084,r009,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,True,True,True
c,C,NOUN,,A quantity or amount.,54084,r010,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True
=,=,NOUN,,Represents equality or comparison,54084,r002,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
a,A,NOUN,,A quantity or amount.,54084,r008,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,True,True,True,True
b,B,NOUN,,A quantity or amount.,54084,r009,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,True,True,True
c,C,NOUN,,A quantity or amount.,54084,r010,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True
A;s,A;s,PROPN,ORG,"Refers to a company, group, or institution",54084,r004,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,True,True,False,True,True,True
share,share,NOUN,technical term,A portion allocated from a whole,54084,r015,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
=,=,PROPN,,Represents equality or comparison,54084,r002,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
=,=,NOUN,,Represents equality or comparison,54084,r002,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
r,Rs,NOUN,,abbreviation for rupees,54084,r013,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,True,True
b,B,NOUN,,A quantity or amount.,54084,r009,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,True,True,True
share,share,NOUN,technical term,A portion allocated from a whole,54084,r015,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
=,=,NOUN,,Represents equality or comparison,54084,r002,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
=,=,NOUN,,Represents equality or comparison,54084,r002,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
r,Rs,NOUN,,abbreviation for rupees,54084,r013,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,True,True
c,C,NOUN,,A quantity or amount.,54084,r010,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True
share,share,NOUN,technical term,A portion allocated from a whole,54084,r015,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
=,=,NOUN,,Represents equality or comparison,54084,r002,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
r,Rs,NOUN,,abbreviation for rupees,54084,r013,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,True,True
let,Let,VERB,Technical Term,Define Value,13920,r007,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True
initial,initial,ADJ,technical term,Start value,13920,r005,False,False,False,False,False,False,True,True,True,False,True,True,True,False,True,False,False,True,True,True,True
price,price,NOUN,technical term,Monetary value assigned to an item or service,13920,r009,False,False,True,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False,True,True
price,Price,NOUN,technical term,Monetary value assigned to an item or service,13920,r009,False,False,True,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False,True,True
discount,discount,NOUN,technical term,Reduction in price,13920,r004,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,True,True
=,=,NOUN,Technical Term,Equality,13920,r002,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,True,True,True,True,True,True
price,Price,NOUN,technical term,Monetary value assigned to an item or service,13920,r009,False,False,True,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False,True,True
discount,discount,NOUN,technical term,Reduction in price,13920,r004,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,True,True
=,=,NOUN,Technical Term,Equality,13920,r002,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,True,True,True,True,True,True
discount,discount,NOUN,technical term,Reduction in price,13920,r004,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,True,True
=,=,NOUN,Technical Term,Equality,13920,r002,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,True,True,True,True,True,True
so,So,ADV,,Therefore,13920,r011,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True
price,Price,NOUN,technical term,Monetary value assigned to an item or service,13920,r009,False,False,True,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False,True,True
percentage,percentage,NOUN,technical term,Proportion or ratio expressed as a fraction of 100,13920,r008,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,True,False,True,True,True
sale,sale,NOUN,technical term,Promotional event offering reduced prices,13920,r010,False,False,False,False,False,True,False,True,False,True,False,False,True,True,True,True,True,True,True,True,True
price,price,NOUN,technical term,Monetary value assigned to an item or service,13920,r009,False,False,True,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False,True,True
=,=,PROPN,Technical Term,Equality,13920,r002,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,True,True,True,True,True,True
*,*,NOUN,Technical Term,Placeholder,13920,r001,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True
sum,sum,NOUN,technical term,Total value,81305,r006,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,True
number,numbers,NOUN,technical term,Quantifiable data,81305,r004,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True
number,number,NOUN,technical term,Quantifiable data,81305,r004,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True
multiply,multiplied,VERB,technical term,Numerical operation,81305,r002,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True
new,new,ADJ,organization name,Set of numbers,81305,r003,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,True,True,True
sum,sum,NOUN,technical term,Total value,81305,r006,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,True
average,average,NOUN,technical term,Mathematical calculation,81305,r001,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,False,True,True
then,then,ADV,organization name,Sequence of operations,81305,r007,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,True,True,True,True,True,True
term,term,NOUN,technical term,"each individual element in a sequence, often referred to as a number or component",18645,r008,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True
term,term,NOUN,technical term,"each individual element in a sequence, often referred to as a number or component",18645,r008,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True
=,=,VERB,technical term,expression of equality,18645,r001,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True
a+3d)+(a+11d,a+3d)+(a+11d,NOUN,technical term,the sum of the 4th and 12th terms of an arithmetic progression,18645,r003,False,False,True,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,False,True,True
=,=,VERB,technical term,expression of equality,18645,r001,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True
now,Now,ADV,,at the present time,18645,r005,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,True,True,True,True,True
Sum,Sum,PROPN,individual name,the total amount obtained by adding together all elements,18645,r002,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,True,True,True,True
term,terms,NOUN,technical term,"each individual element in a sequence, often referred to as a number or component",18645,r008,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True
=,=,PROPN,technical term,expression of equality,18645,r001,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True
=,=,PROPN,technical term,expression of equality,18645,r001,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True
=,=,PROPN,technical term,expression of equality,18645,r001,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True
explanation,Explanation,NOUN,technical term,Describing a process or concept,12383,r011,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True
Sum,Sum,PROPN,Technical Term,Represents the total of values,12383,r005,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,True
temperature,temperatures,NOUN,technical term,Heat intensity,12383,r016,False,False,True,False,False,False,False,True,False,True,False,True,False,True,True,True,False,True,False,True,True
day,days,NOUN,Organization Name,Specifies a period of 24 hours,12383,r010,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
=,=,VERB,Technical Term,Represents equality or calculation,12383,r002,False,False,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True
Sum,Sum,PROPN,Technical Term,Represents the total of values,12383,r005,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,True
temperature,temperatures,NOUN,technical term,Heat intensity,12383,r016,False,False,True,False,False,False,False,True,False,True,False,True,False,True,True,True,False,True,False,True,True
day,days,NOUN,Organization Name,Specifies a period of 24 hours,12383,r010,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
=,=,VERB,Technical Term,Represents equality or calculation,12383,r002,False,False,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True
Subtracting,Subtracting,PROPN,Technical Term,Mathematical operation performed on values,12383,r004,False,True,False,True,True,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,True
get,get,VERB,,,12383,r012,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,True
Temp,Temp,PROPN,PERSON,Short form for 'temperature',12383,r006,False,False,False,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True
day,day,NOUN,Organization Name,Specifies a period of 24 hours,12383,r010,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
Temp,Temp,PROPN,Technical Term,Short form for 'temperature',12383,r006,False,False,False,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True
=,=,VERB,Technical Term,Represents equality or calculation,12383,r002,False,False,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True
let,Let,VERB,,,12383,r013,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,True,False,True
temperature,temperatures,NOUN,technical term,Heat intensity,12383,r016,False,False,True,False,False,False,False,True,False,True,False,True,False,True,True,True,False,True,False,True,True
day,days,NOUN,Organization Name,Specifies a period of 24 hours,12383,r010,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
be,be,VERB,,,12383,r009,False,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True
respectively,respectively,ADV,,In the order stated,12383,r015,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True,True
then,Then,ADV,,,12383,r017,False,False,False,False,False,True,True,False,True,False,False,True,True,False,True,True,True,True,False,True,True
7x,7x,PROPN,Individual Name,Temperature on the 1st day,12383,r001,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True
x,x,NOUN,technical term,Unknown variable,12383,r019,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True
=,=,NOUN,Technical Term,Represents equality or calculation,12383,r002,False,False,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True
answer,Answer,NOUN,Individual Name,Solution to Problem,12383,r007,False,False,False,False,False,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True
D,D,PROPN,Individual Name,Answer to the Question,12383,r003,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,True,False,True,True,True,True
time,Time,NOUN,,Duration,36718,r035,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,True,True
paint,paint,VERB,none,To apply a colorant to a surface,36718,r028,False,False,False,False,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True
wall,wall,NOUN,organization name,Structure,36718,r038,False,False,False,False,False,False,False,True,True,False,True,False,True,True,True,True,False,True,True,True,True
give,given,VERB,none,To provide or supply information,36718,r025,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,True
problem,problem,NOUN,none,A question or issue requiring a solution,36718,r029,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,True,True
AC,AC,PROPN,ORG,Organization name,36718,r007,False,False,False,False,True,True,True,True,False,True,False,False,True,True,True,False,True,True,True,True,True
4 hour,4 hours,NUM,TIME,Duration,36718,r002,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,True,True,True,True,True
BC,BC,PROPN,ORG,Organization name,36718,r009,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,True,False,True,True,True,True
2 hour,2 hours,NUM,TIME,Duration,36718,r001,False,False,True,False,False,False,True,True,True,False,False,True,True,False,True,True,True,True,True,False,True
AB,AB,PROPN,ORG,Organization name,36718,r005,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True
=,=,VERB,,"Equality, Assignment",36718,r004,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,True,True
6 hour,6 hours,NUM,TIME,Duration,36718,r003,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True
work,works,VERB,,Labor,36718,r039,False,False,True,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,True,True,True
constant,constant,ADJ,technical term,Rate of change or process,36718,r021,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True
rate,rate,NOUN,technical term,Speed or frequency of occurrence,36718,r030,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,True,True,True,True
take,takes,VERB,,Action,36718,r033,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True
twice,twice,ADV,,Multiplicity,36718,r036,False,False,False,True,False,False,False,False,True,True,True,True,True,False,True,True,False,True,True,True,True
as,as,ADV,Technical Term,Comparison,36718,r014,False,False,False,True,False,True,False,False,True,True,False,True,True,True,True,True,False,True,True,True,True
long,long,ADJ,technical term,Extension in length,36718,r026,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,True,True,True
paint,paint,VERB,none,To apply a colorant to a surface,36718,r028,False,False,False,False,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True
AC,AC,PROPN,ORG,Organization name,36718,r007,False,False,False,False,True,True,True,True,False,True,False,False,True,True,True,False,True,True,True,True,True
compare,compared,VERB,Technical Term,Assessment,36718,r020,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True
BC,BC,PROPN,ORG,Organization name,36718,r009,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,True,False,True,True,True,True
AC=2BC,AC=2BC,PROPN,ORG,Mathematical Equation,36718,r008,False,False,False,False,True,True,True,False,False,False,True,True,True,False,True,True,True,True,True,True,True
Plug,Plug,PROPN,Technical Term,Electrical Connection,36718,r012,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
a,A,NOUN,Individual Name,Dimension,36718,r013,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,True,True
find,find,VERB,none,To determine or discover a value,36718,r024,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True,True,True
paint,painting,VERB,none,To apply a colorant to a surface,36718,r028,False,False,False,False,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True
AB,AB,PROPN,ORG,Organization name,36718,r005,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True
take,takes,VERB,,Action,36718,r033,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True
time,times,NOUN,,Duration,36718,r035,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,True,True
as,as,ADV,Technical Term,Comparison,36718,r014,False,False,False,True,False,True,False,False,True,True,False,True,True,True,True,True,False,True,True,True,True
long,long,ADJ,technical term,Extension in length,36718,r026,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,True,True,True
compare,compared,VERB,Technical Term,Assessment,36718,r020,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True
BC,BC,PROPN,ORG,Organization name,36718,r009,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,True,False,True,True,True,True
a,A,NOUN,Individual Name,Dimension,36718,r013,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,True,True
b,B,NOUN,Individual Name,Dimension,36718,r015,False,False,False,True,False,False,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True
find,find,VERB,none,To determine or discover a value,36718,r024,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True,True,True
C=2,C=2,PROPN,,Value of 'C' after calculations,36718,r010,False,False,False,False,False,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True
x,X,NOUN,Technical Term,Unknown quantity in a mathematical expression,69327,r008,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True
x,X,NOUN,Technical Term,Unknown quantity in a mathematical expression,69327,r008,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True
=,=,NOUN,Technical Term,Mathematical operation: equality,69327,r005,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
=,=,NOUN,Technical Term,Mathematical operation: equality,69327,r005,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
5X,5X,PROPN,Technical Term,Mathematical expression,69327,r004,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True
+,+,PROPN,Technical Term,Mathematical operation: addition,69327,r001,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True
35/3,35/3,PROPN,Technical Term,Numerical result,69327,r002,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,True,True,True
42/3,42/3,PROPN,Technical Term,Numerical result,69327,r003,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True
>,>,PROPN,Technical Term,Mathematical operation: greater than,69327,r006,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,True,True,True,True,True,True
Sum,Sum,PROPN,technical term,The result of adding numbers together,49968,r002,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True
average,Average,ADJ,technical term,A central or typical value calculated from data,49968,r003,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True
=,=,PROPN,technical term,Mathematical operation; comparison,49968,r001,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
initial,Initial,ADJ,,Existing at the beginning or starting point.,71969,r024,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True
bacterial,bacterial,ADJ,technical term,Relating to bacteria.,71969,r010,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True
specie,species,NOUN,technical term,A species or variety of a living organism,71969,r038,False,True,False,False,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True,True,True
reduce,reduce,NOUN,technical term,The act of decreasing the number or amount of something.,71969,r033,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,True,True,True,True,True,True
reduce,reduce,NOUN,technical term,To lessen in amount or intensity,71969,r033,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,True,True,True,True,True,True
BY,BY,PROPN,,Indicates reduction relative to a value,71969,r006,False,False,False,False,True,False,False,True,True,False,True,False,True,True,True,True,False,True,False,True,True
x,x,PROPN,Technical Term,Unknown Quantity or Variable Representing Bacterial Species,71969,r041,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
8)%,8)%,PROPN,Technical Term,Percentage reduction,71969,r003,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True
percentage,percentage,NOUN,technical term,A measure of proportion or extent,71969,r031,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,False,True,True,True
bacterial,bacterial,ADJ,technical term,Relating to bacteria.,71969,r010,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True
specie,species,NOUN,technical term,A species or variety of a living organism,71969,r038,False,True,False,False,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True,True,True
=,=,VERB,,Indicates equality or comparison.,71969,r005,False,True,False,True,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True
x,x,PROPN,Technical Term,Unknown Quantity or Variable Representing Bacterial Species,71969,r041,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
8)%,8)%,PROPN,Technical Term,Percentage reduction,71969,r003,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True
x,x,NOUN,Technical Term,Unknown Quantity or Variable Representing Bacterial Species,71969,r041,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
